station_id,station_name,full_fare,one_day_unlimited,seven_day_unlimited,fourteen_day_unlimited,thirty_day_unlimited
R011,Times Sq - 42nd St,3841840,429,701621,21,911650
R020,47th-50th Sts - Rockefeller Ctr,2254637,568,733046,3,1123847
R021,Times Sq - 42nd St,1468384,413,555771,3,874125
R022,Herald Sq - 34th St,2847971,558,1068766,17,1379637
R023,Herald Sq - 34th St,2190420,368,614199,15,1039569
R028,Fulton St,984159,147,346678,3,587509
R030,Chambers St,605042,97,216973,1,333137
R033,Times Sq - 42nd St,2042162,172,827447,2,799918
R053,3rd Ave - 149th St,881465,45,670440,2,344190
R084,59th St - Columbus Circle,2615763,303,1105881,4,1432483
R099,DeKalb Ave,833385,108,296387,1,526457
R131,23rd St,898594,106,342357,7,558626
R175,14th St,1582461,193,705782,3,816606
R195,161st St - Yankee Stadium,925138,89,681130,4,394489
R206,125th St,522976,25,352772,0,290474
R220,Carroll St,490162,101,154995,4,266407
R292,Baychester Ave,187959,16,80870,2,48825
R293,34th St - Penn Station,2324378,225,461098,23,626492
R359,Court Sq - 23rd St,612913,68,239352,0,386930
R445,3rd Ave - 138th St,396408,23,292679,2,140807
