name,zip_code
103rd St,10025
103rd St - Corona Plaza,11368
104th St,11417
104th-102nd Sts,11418
110th St,10029
111th St,11419
116th St,10026
116th St - Columbia University,10027
121st St,11418
125th St,10027
135th St,10037
137th St - City College,10031
138th St - Grand Concourse,10451
145th St,10031
149th St - Grand Concourse,10451
14th St,10011
155th St,10039
157th St,10032
15th St - Prospect Park,11215
161st St - Yankee Stadium,10451
163rd St - Amsterdam Av,10032
167th St,10456
168th St,10032
169th St,11432
170th St,10456
174th St,10460
174th-175th Sts,10457
175th St,10033
176th St,10453
181st St,10033
182nd-183rd Sts,10453
183rd St,10453
18th Ave,11230
18th St,10011
190th St,10040
191st St,10040
1st Ave,10009
207th St,10034
20th Ave,11204
215th St,10034
219th St,10467
21st St,11101
21st St - Queensbridge,11101
225th St,10466
231st St,10463
233rd St,10466
238th St,10463
23rd St,10010
25th Ave,11214
25th St,11232
28th St,10001
30th Ave,11102
33rd St,10016
34th St - Hudson Yards,10001
34th St - Penn Station,10001
36th Ave,11106
36th St,11101
39th Ave,11101
3rd Ave,10003
3rd Ave - 138th St,10454
3rd Ave - 149th St,10455
40th St,11104
42nd St - Bryant Pk,10018
42nd St - Port Authority Bus Term,10036
45th St,11220
46th St,11103
47th-50th Sts - Rockefeller Ctr,10020
49th St,10019
4th Av - 9th St,11215
50th St,10019
51st St,10022
52nd St,11377
53rd St,11220
55th St,11219
57th St,10019
59th St,11220
59th St - Columbus Circle,10019
5th Ave - 53rd St,10022
5th Ave - 59th St,10023
5th Ave - Bryant Pk,10036
62nd St,11219
63rd Dr - Rego Park,11374
65th St,11377
66th St - Lincoln Ctr,10023
67th Ave,11375
68th St - Hunter College,10065
69th St,11377
6th Ave,10011
71st St,11228
72nd St,10023
74th St - Broadway,11372
75th Ave,11375
75th St - Eldert Ln,11421
77th St,10075
79th St,10024
7th Ave,11215
80th St,11417
81st St,10024
82nd St - Jackson Hts,11372
85th St - Forest Pky,11421
86th St,10024
88th St,11417
8th Ave,11220
8th St - NYU,10003
90th St - Elmhurst Av,11373
96th St,10025
9th Ave,11219
Alabama Ave,11207
Allerton Ave,10467
Aqueduct - North Conduit Av,11420
Aqueduct Racetrack,11420
Astor Pl,10003
Astoria - Ditmars Blvd,11105
Astoria Blvd,11102
Atlantic Av - Barclay's Center,11217
Atlantic Ave,11207
Ave H,11230
Ave I,11230
Ave J,11230
Ave M,11230
Ave N,11204
Ave P,11230
Ave U,11223
Ave X,11223
Bay 50th St,11223
Bay Pky,11214
Bay Ridge - 95th St,11209
Bay Ridge Ave,11220
Baychester Ave,10469
Beach 105th St,11694
Beach 25th St,11691
Beach 36th St,11691
Beach 44th St,11691
Beach 60th St,11692
Beach 67th St,11692
Beach 90th St,11693
Beach 98th St,11694
Bedford - Nostrand Aves,11205
Bedford Ave,11211
Bedford Park Blvd,10458
Bedford Park Blvd - Lehman College,10468
Bergen St,11217
Beverly Rd,11226
Bleecker St,10012
Borough Hall,11201
Botanic Garden,11225
Bowery,10012
Bowling Green,10004
Briarwood - Van Wyck Blvd,11415
Brighton Beach,11235
Broad Channel,11693
Broad St,10005
Broadway,11211
Broadway - Lafayette St,10012
Broadway Junction,11207
Bronx Park East,10462
Brook Ave,10454
Brooklyn Bridge - City Hall,10007
Brooklyn College - Flatbush Ave,11210
Buhre Ave,10461
Burke Ave,10467
Burnside Ave,10453
Bushwick - Aberdeen,11207
Canal St,10013
Canal St - Holland Tunnel,10013
Canarsie - Rockaway Pkwy,11236
Carroll St,11231
Castle Hill Ave,10462
Cathedral Pkwy (110th St),10026
Central Ave,11221
Central Park North (110th St),10026
Chambers St,10007
Chauncey St,11207
Christopher St - Sheridan Sq,10014
Church Ave,11218
City Hall,10007
Clark St,11201
Classon Ave,11238
Cleveland St,11208
Clinton - Washington Aves,11238
Coney Island - Stillwell Av,11224
Cortelyou Rd,11226
Cortlandt St,10007
Court Sq,11101
Court Sq - 23rd St,11101
Court St,11201
Crescent St,11208
Crown Hts - Utica Ave,11213
Cypress Ave,10454
Cypress Hills,11208
DeKalb Ave,11201
Delancey St - Essex St,10002
Ditmas Ave,11218
Dyckman St,10040
E 105th St,11236
E 143rd St - St Mary's St,10454
E 149th St,10455
E 180th St,10460
East Broadway,10002
Eastchester - Dyre Ave,10466
Eastern Pkwy - Bklyn Museum,11238
Elder Ave,10472
Elmhurst Ave,11373
Euclid Ave,11208
Far Rockaway - Mott Ave,11691
Flushing - Main St,11354
Flushing Ave,11206
Fordham Rd,10468
Forest Ave,11385
Forest Hills - 71st Av,11375
Franklin Ave,11238
Franklin Ave - Fulton St,11238
Franklin St,10013
Freeman St,10459
Fresh Pond Rd,11385
Ft Hamilton Pkwy,11218
Fulton St,11217
Gates Ave,11221
Graham Ave,11211
Grand Army Plaza,11238
Grand Ave - Newtown,11373
Grand Central - 42nd St,10017
Grand St,11211
Grant Ave,11208
Gravesend - 86th St,11223
Greenpoint Ave,11222
Gun Hill Rd,10467
Halsey St,11233
Harlem - 148 St,10039
Herald Sq - 34th St,10001
Hewes St,11211
High St,11201
Houston St,10014
Howard Beach - JFK Airport,11414
Hoyt - Schermerhorn Sts,11217
Hoyt St,11201
Hunters Point Ave,11101
Hunts Point Ave,10459
Intervale Ave,10459
Inwood - 207th St,10034
Jackson Ave,10455
Jackson Hts - Roosevelt Av,11372
Jamaica - 179th St,11432
Jamaica - Van Wyck,11418
Jamaica Ctr - Parsons / Archer,11433
Jay St - MetroTech,11201
Jefferson St,11237
Junction Blvd,11372
Junius St,11212
Kew Gardens - Union Tpke,11415
Kings Hwy,11223
Kingsbridge Rd,10468
Kingston - Throop Aves,11216
Kingston Ave,11213
Knickerbocker Ave,11237
Kosciuszko St,11221
Lafayette Ave,11217
Lexington Ave - 53rd St,10022
Lexington Ave - 59th St,10022
Lexington Ave - 63rd St,10065
Liberty Ave,11207
Livonia Ave,11207
Long Island City - Court Sq,11101
Longwood Ave,10459
Lorimer St,11211
Lower East Side - 2nd Ave,10002
Marble Hill - 225th St,10463
Marcy Ave,11211
Metropolitan Ave,11211
Mets - Willets Point,11368
Middle Village - Metropolitan Ave,11379
Middletown Rd,10461
Montrose Ave,11206
Morgan Ave,11206
Morris Park,10462
Morrison Av - Soundview,10472
Mosholu Pkwy,10467
Mt Eden Ave,10452
Myrtle - Wyckoff Aves,11237
Myrtle Ave,11206
Myrtle-Willoughby Aves,11206
Nassau Ave,11222
Neck Rd,11229
Neptune Ave,11224
Nereid Ave (238 St),10466
Nevins St,11217
New Lots Ave,11207
New Utrecht Ave,11219
Newkirk Ave,11226
Northern Blvd,11377
Norwood - 205th St,10467
Norwood Ave,11208
Nostrand Ave,11216
Ocean Pkwy,11235
Ozone Park - Lefferts Blvd,11419
Park Pl,11238
Parkchester,10472
Parkside Ave,11226
Parsons Blvd,11432
Pelham Bay Park,10461
Pelham Pkwy,10462
Pennsylvania Ave,11207
President St,11225
Prince St,10012
Prospect Ave,10455
Prospect Park,11225
Queens Plz,11101
Queensboro Plz,11101
Ralph Ave,11233
Rector St,10006
Rockaway Ave,11233
Rockaway Blvd,11417
Rockaway Park - Beach 116 St,11694
Roosevelt Island - Main St,10044
Saratoga Ave,11212
Seneca Ave,11385
Sheepshead Bay,11235
Shepherd Ave,11208
Simpson St,10459
Smith - 9th Sts,11215
South Ferry,10004
Spring St,10013
St Lawrence Ave,10472
Steinway St,11101
Sterling St,11225
Sutphin Blvd,11435
Sutphin Blvd - Archer Av,11435
Sutter Ave,11207
Sutter Ave - Rutland Road,11212
Times Sq - 42nd St,10036
Tremont Ave,10457
Union Sq - 14th St,10003
Union St,11215
Utica Ave,11213
Van Cortlandt Park - 242nd St,10463
Van Siclen Ave,11207
Vernon Blvd - Jackson Ave,11101
W 4th St - Washington Sq (Lower),10011
W 4th St - Washington Sq (Upper),10011
W 8th St - NY Aquarium,11224
Wakefield - 241st St,10470
Wall St,10006
West Farms Sq - E Tremont Av,10460
Westchester Sq - E Tremont Ave,10461
Whitehall St,10004
Whitlock Ave,10459
Wilson Ave,11207
Winthrop St,11225
Woodhaven Blvd,11421
Woodhaven Blvd - Queens Mall,11373
Woodlawn,10467
Woodside - 61st St,11377
World Trade Center,10007
York St,11201
Zerega Ave,10462
