station_id,station_name,entries,exits
R011,Times Sq - 42nd St,3612913950,3530244637
R020,47th-50th Sts - Rockefeller Ctr,3161471509,2202562933
R021,Times Sq - 42nd St,2083376104,1410855071
R022,Herald Sq - 34th St,2366032504,3077172357
R023,Herald Sq - 34th St,2491858814,3862869440
R028,Fulton St,2621723165,2240200727
R030,Chambers St,2116097665,1713031770
R033,Times Sq - 42nd St,3632467532,3079588790
R053,3rd Ave - 149th St,2777841385,1649882642
R084,59th St - Columbus Circle,2943489087,2766063313
R099,DeKalb Ave,1999881210,1850903136
R131,23rd St,2042731507,1572126476
R175,14th St,2128889517,1155158155
R195,161st St - Yankee Stadium,4062551956,4547753476
R206,125th St,2111839263,958114982
R220,Carroll St,2060914563,1852519183
R292,Baychester Ave,2064006893,167898532
R293,34th St - Penn Station,2724195314,2270875049
R359,Court Sq - 23rd St,2066710171,681410328
R445,3rd Ave - 138th St,2046542233,1425696995
