zip_code,bid,females,males,gender_unknown,american_indians,asians,blacks,hispanic_latinos,pacific_islanders,whites,other,ethnicity_unknown
10001,3,22,22,0,0,3,21,16,0,1,3,0
10002,3,19,16,0,0,28,0,1,0,6,0,0
10003,3,1,0,0,0,1,0,0,0,0,0,0
10004,3,0,0,0,0,0,0,0,0,0,0,0
10005,3,2,0,0,0,1,1,0,0,0,0,0
10006,3,2,4,0,0,0,3,2,0,1,0,0
10007,3,0,1,0,0,1,0,0,0,0,0,0
10009,3,0,2,0,0,2,0,0,0,0,0,0
10010,3,0,0,0,0,0,0,0,0,0,0,0
10011,3,2,1,0,0,0,1,1,0,0,1,0
10012,3,0,0,0,0,0,0,0,0,0,0,0
10013,3,1,7,0,0,8,0,0,0,0,0,0
10014,3,0,0,0,0,0,0,0,0,0,0,0
10015,3,0,0,0,0,0,0,0,0,0,0,0
10016,3,12,5,0,0,0,8,9,0,0,0,0
10017,3,0,0,0,0,0,0,0,0,0,0,0
10018,3,2,1,0,0,3,0,0,0,0,0,0
10019,3,0,0,0,0,0,0,0,0,0,0,0
10020,3,0,0,0,0,0,0,0,0,0,0,0
10021,3,0,0,0,0,0,0,0,0,0,0,0
10022,3,1,0,0,0,1,0,0,0,0,0,0
10023,3,5,2,0,0,1,3,3,0,0,0,0
10024,3,4,0,0,0,0,0,0,0,3,0,1
10025,3,17,10,0,0,0,11,15,0,0,1,0
10026,3,0,0,0,0,0,0,0,0,0,0,0
10027,3,4,3,0,0,1,4,1,0,0,1,0
10028,3,0,0,0,0,0,0,0,0,0,0,0
10029,3,13,7,0,0,0,15,4,0,0,1,0
10030,3,0,0,0,0,0,0,0,0,0,0,0
10031,3,0,0,0,0,0,0,0,0,0,0,0
10032,3,4,9,0,0,1,2,9,0,0,1,0
10033,3,0,0,0,0,0,0,0,0,0,0,0
10034,3,0,0,0,0,0,0,0,0,0,0,0
10035,3,0,0,0,0,0,0,0,0,0,0,0
10036,3,2,0,0,0,1,1,0,0,0,0,0
10037,3,0,0,0,0,0,0,0,0,0,0,0
